0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,country_names
2.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,5.0,7.0,0.0,0.0,3.0,0.0,6.0,0.0,Albania
12.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0,Armenia
0.0,12.0,3.0,0.0,12.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,8.0,4.0,Australia
0.0,3.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,0.0,7.0,6.0,10.0,0.0,Austria
0.0,2.0,0.0,12.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,Azerbaijan
7.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,6.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0,Belarus
7.0,4.0,3.0,0.0,12.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,10.0,2.0,0.0,Belgium
0.0,3.0,5.0,8.0,0.0,2.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,7.0,0.0,Bosnia & Herzegovina
8.0,5.0,4.0,1.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,3.0,0.0,10.0,0.0,Bulgaria
0.0,5.0,6.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,0.0,7.0,0.0,10.0,0.0,Croatia
8.0,5.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,7.0,0.0,Cyprus
8.0,1.0,4.0,6.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,2.0,0.0,12.0,0.0,Czech Republic
0.0,10.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,4.0,0.0,0.0,12.0,7.0,3.0,0.0,Denmark
0.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,12.0,0.0,0.0,10.0,0.0,8.0,0.0,Estonia
7.0,3.0,0.0,0.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,12.0,0.0,0.0,0.0,6.0,0.0,F.Y.R. Macedonia
0.0,7.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,0.0,0.0,10.0,0.0,12.0,0.0,Finland
12.0,0.0,8.0,0.0,4.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,2.0,0.0,10.0,0.0,France
12.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,6.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,Georgia
2.0,5.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,8.0,3.0,6.0,0.0,Germany
8.0,5.0,1.0,0.0,0.0,7.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,Greece
0.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,7.0,2.0,12.0,0.0,Hungary
0.0,8.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,7.0,0.0,0.0,12.0,6.0,0.0,0.0,Iceland
0.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,10.0,8.0,0.0,0.0,2.0,0.0,4.0,3.0,Ireland
6.0,5.0,3.0,2.0,1.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,Israel
1.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,5.0,3.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,10.0,8.0,4.0,0.0,0.0,0.0,12.0,0.0,Italy
0.0,6.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,5.0,12.0,0.0,0.0,7.0,0.0,10.0,0.0,Latvia
0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,12.0,12.0,0.0,6.0,8.0,0.0,0.0,7.0,0.0,10.0,0.0,Lithuania
0.0,12.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,3.0,4.0,1.0,Malta
7.0,5.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,Moldova
0.0,0.0,0.0,7.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,8.0,0.0,Montenegro
